2026-05-07 08:25:59.898 [main] INFO  o.e.s.SchoolDemoApplication - Starting SchoolDemoApplication using Java 17.0.18 with PID 10984 (/home/puyu/IdeaProjects/test/school_demo/build/classes/java/main started by puyu in /home/puyu/IdeaProjects/test/school_demo)
2026-05-07 08:25:59.900 [main] INFO  o.e.s.SchoolDemoApplication - No active profile set, falling back to 1 default profile: "default"
2026-05-07 08:26:00.454 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-05-07 08:26:00.504 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 45 ms. Found 17 JPA repository interfaces.
2026-05-07 08:26:00.946 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-05-07 08:26:00.951 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-05-07 08:26:00.951 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.16]
2026-05-07 08:26:00.976 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-05-07 08:26:00.977 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1052 ms
2026-05-07 08:26:01.224 [main] INFO  o.e.s.config.ConnectionPoolConfig - 连接池初始化: name=SchedulerHikariPool, maxPoolSize=20, minIdle=5, leakDetection=60000ms
2026-05-07 08:26:01.483 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-05-07 08:26:01.518 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-05-07 08:26:01.518 [main] WARN  org.hibernate.orm.deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
2026-05-07 08:26:02.108 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-05-07 08:26:02.345 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2026-05-07 08:26:03.346 [main] INFO  o.e.s.config.ObjectPoolConfig - 对象池配置初始化: maxTotal=50, maxIdle=20, minIdle=5
2026-05-07 08:26:03.351 [main] INFO  o.e.s.config.ThreadPoolConfig - 线程池初始化: 通用异步线程池 | 核心=4, 最大=8, 队列容量=100, 拒绝策略=caller-runs
2026-05-07 08:26:03.358 [main] INFO  o.e.s.config.ThreadPoolConfig - 线程池初始化: 排课计算线程池 | 核心=2, 最大=8, 队列容量=50, 拒绝策略=caller-runs
2026-05-07 08:26:03.360 [main] INFO  o.e.s.config.ThreadPoolConfig - 线程池初始化: 批量处理线程池 | 核心=2, 最大=8, 队列容量=200, 拒绝策略=caller-runs
2026-05-07 08:26:03.812 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 3 endpoint(s) beneath base path '/actuator'
2026-05-07 08:26:03.863 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2026-05-07 08:26:03.872 [main] INFO  o.e.s.SchoolDemoApplication - Started SchoolDemoApplication in 4.307 seconds (process running for 4.832)
2026-05-07 08:26:03.875 [main] INFO  o.e.s.SchoolDemoApplication - ========================================
2026-05-07 08:26:03.875 [main] INFO  o.e.s.SchoolDemoApplication -   智能排课系统已启动
2026-05-07 08:26:03.875 [main] INFO  o.e.s.SchoolDemoApplication -   API 端口：http://localhost:8080
2026-05-07 08:26:03.876 [main] INFO  o.e.s.SchoolDemoApplication - ========================================
2026-05-07 08:26:04.306 [RMI TCP Connection(2)-127.0.0.1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-05-07 08:26:04.306 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-05-07 08:26:04.307 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
